transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,year,month,day,weekday,income_expense
T03512,U039,2021-12-22,Expense,Rent,998.0,Cash,Pune,Paid electricity bill ,2021.0,12.0,22.0,Wednesday,Expense
T03261,U179,,Expense,Food,143.0,Card,Delhi,Grocery shopping,,,,,Expense
T04316,U143,2022-10-18,Expense,Rent,149.0,Cash,Bengaluru,,2022.0,10.0,18.0,Tuesday,Expense
T05649,U079,,Expense,Rent,49.0,UPI,,Paid electricity bill,,,,,Expense
T14750,U020,,Income,Other income,83802.0,Bank transfer,Chennai,Gift via app,,,,,Income
T04246,U188,,Expense,Entertainment,208.0,UPI,Hyderabad,Monthly rent,,,,,Expense
T01814,U150,2019-09-12,Expense,Savings,681.0,Cash,Kolkata,Salary,2019.0,9.0,12.0,Thursday,Expense
T06293,U014,,Expense,Rent,2524.0,Bank transfer,,Salary,,,,,Expense
T07930,U138,,Expense,Education,93.0,Bank transfer,Pune,hZtATyn1UX55solCMr1,,,,,Expense
T04656,U112,2021-02-03,Expense,Food,323.0,UPI,Ahmedabad,Monthly rent,2021.0,2.0,3.0,Wednesday,Expense
T11712,U117,,Expense,Others,662.0,UPI,Chennai,Salary cash,,,,,Expense
T00308,U009,,Expense,Food,1019.0,UPI,Kolkata,,,,,,Expense
T01783,U092,,Expense,Entertainmennt,203.0,Bank transfer,jaipur,Course fee ,,,,,Expense
T09558,U082,,Income,Salaryy,59149.0,Bank transfer,Chennai,Netflix subscription,,,,,Income
T09993,U148,,Income,Other income,78744.0,Bank transfer,,Doctor visit,,,,,Income
T02596,U050,2021-03-03,Income,Other income,58874.0,Card,Bengaluru,Salary,2021.0,3.0,3.0,Wednesday,Income
T05569,U049,,Expense,Food,258.0,Bank transfer,Lucknow,Dinner at resto,,,,,Expense
T10777,U044,,Expense,Travel,336.0,UPI,Kolkata,Uber to office,,,,,Expense
T11684,U114,2022-01-20,Expense,Food,383.0,Bank transfer,Hyderabad,Grocery shopping,2022.0,1.0,20.0,Thursday,Expense
T14503,U119,,Expense,Savings,93.0,Card,Ahmedabad,,,,,,Expense
T11737,U059,,Expense,Food,82.0,Cash,Lucknow,,,,,,Expense
T08540,U095,,Expense,Food,1761.0,Cash,Hyderabad,wkAdxBaz8rnYSOE,,,,,Expense
T11492,U149,2020-12-28,Expense,Rent,1580.0,UPI,Lucknow,Uber to office,2020.0,12.0,28.0,Monday,Expense
T10632,U157,,Expense,Reent,856.0,UPI,Mumbai,Paid electricity bill ,,,,,Expense
T02786,U150,,Expense,Rent,46.0,Cash,Hyderabad,,,,,,Expense
T14674,U158,,Income,Bonus,35621.0,Card,Pune,Uber to office,,,,,Income
T06474,U136,,Expense,Rent,490.0,Bank transfer,Mumbai,Doctor visit,,,,,Expense
T05913,U070,,Expense,Food,1096.0,UPI,,Uber to office,,,,,Expense
T02520,U088,2021-01-01,Expense,Health,193.0,Bank transfer,Ahmedabad,Netflix subscription,2021.0,1.0,1.0,Friday,Expense
T02736,U040,2020-08-05,Expense,Entertainment,187.0,Bank transfer,Bengaluru,Doctor visit cash,2020.0,8.0,5.0,Wednesday,Expense
T00990,U014,2022-10-16,Expense,Others,2506.0,Bank transfer,Ahmedabad,Doctor visit cash,2022.0,10.0,16.0,Sunday,Expense
T08692,U116,,Income,Salary,56751.0,UPI,Bengaluru,Paid electricity bill,,,,,Income
T07857,U002,,Income,Other income,63433.0,Bank transfer,Ahmedabad,Paid electricity bill cash,,,,,Income
T08139,U079,,Income,Bonus,55318.0,Cash,Bengaluru,Monthly rent cash,,,,,Income
T02021,U035,,Expense,Others,206.0,UPI,Kolkata,Uber to office,,,,,Expense
T08463,U179,,Expense,Utilities,215.0,Cash,Bengaluru,Uber to office ,,,,,Expense
T09732,U071,,Expense,Travel,2871.0,Card,mumbai,Monthly rent via app,,,,,Expense
T08387,U009,,Expense,Utilities,272.0,UPI,Pune,VDSr4SI1JVHg,,,,,Expense
T04370,U119,2021-03-31,Expense,Food,5387.0,Bank transfer,Pune,A7Brvt0bSrovLXo,2021.0,3.0,31.0,Wednesday,Expense
T03937,U104,,Income,Other income,53334.0,Cash,Ahmedabad,Grocery shopping ,,,,,Income
T12024,U066,,Expense,Travel,239.0,Bank transfer,Pune,Paid electricity bill,,,,,Expense
T14443,U025,,Expense,Rent,129.0,UPI,Lucknow,,,,,,Expense
T05759,U088,,Expense,Entertainment,123.0,Bank transfer,Chennai,Dinner at resto cash,,,,,Expense
T00315,U142,2019-01-09,Expense,Food,143.0,Cash,Chennai,,2019.0,1.0,9.0,Wednesday,Expense
T05202,U088,,Expense,Food,125.0,Cash,Jaipur,Monthly rent,,,,,Expense
T11066,U031,2020-12-13,Expense,Nan,367.0,Bank transfer,Kolkata,NLS1gMaaOza0C0cf,2020.0,12.0,13.0,Sunday,Expense
T01016,U041,,Expense,Others,517.0,Cash,Kolkata,Doctor visit,,,,,Expense
T06997,U075,,Expense,Food,3186.0,Bank transfer,Chennai,Grocery shopping,,,,,Expense
T02973,U129,,Expense,Food,141.0,Bank transfer,Bengaluru,Paid electricity bill,,,,,Expense
T03039,U141,,Expense,Travel,266.0,Bank transfer,Lucknow,Doctor visit,,,,,Expense
T14348,U166,,Expense,Food,996.0,UPI,Bengaluru,Paid electricity bill late,,,,,Expense
T11938,U090,,Expense,Others,1901.0,Nan,Chennai,,,,,,Expense
T07615,U038,,Expense,Rent,186.0,UPI,Ahmedabad,Monthly rent,,,,,Expense
T06608,U163,,Expense,Rent,216.0,Card,mumbai,zQQvRHrCGH,,,,,Expense
T07654,U175,,Expense,Others,196.0,Bank transfer,Hyderabad,Course fee cash,,,,,Expense
T01611,U019,,Expense,Rent,1015.0,UPI,Ahmedabad,Salary cash,,,,,Expense
T01335,U113,2019-07-17,Income,Bonus,46491.0,UPI,Delhi,Gift,2019.0,7.0,17.0,Wednesday,Income
T07445,U075,,Expense,Ood,4048.0,Bank transfer,,Monthly rent,,,,,Expense
T10705,U035,,Income,Other income,32770.0,Bank transfer,Pune,Dinner at resto,,,,,Income
T11761,U093,2019-11-10,Expense,Entertainment,2951.0,Cash,Pune,Uber to office,2019.0,11.0,10.0,Sunday,Expense
T11949,U127,,Expense,Food,56.0,Bank transfer,Bengaluru,Grocery shopping,,,,,Expense
T00222,U014,,Expense,Traavel,745.0,Cash,Delhi,Uber to office via app,,,,,Expense
T08940,U062,,Income,Salary,52826.0,Card,Mumbai,Paid electricity bill ,,,,,Income
T03286,U119,2020-03-27,Expense,Savings,408.0,Card,Chennai,Paid electricity bill cash,2020.0,3.0,27.0,Friday,Expense
T13097,U067,,Expense,Rent,1237.0,Card,Mumbai,Gift cash,,,,,Expense
T12188,U005,,Expense,Entertainment,,Bank transfer,Kolkata,Monthly rent cash,,,,,Expense
T01970,U044,2022-10-04,Expense,Rent,1530.0,Card,Hyderabad,Netflix subscription,2022.0,10.0,4.0,Tuesday,Expense
T01399,U076,,Expense,Travel,200.0,UPI,Delhi,Grocery shopping late,,,,,Expense
T08098,U049,2019-06-29,Expense,Travel,183.0,Cash,Ahmedabad,Salary,2019.0,6.0,29.0,Saturday,Expense
T02085,U176,,Expense,Food,333.0,Bank transfer,bengaluru,Doctor visit ,,,,,Expense
T01842,U161,2021-10-13,Expense,Food,1275.0,Card,Kolkata,Gift ,2021.0,10.0,13.0,Wednesday,Expense
T11562,U140,,Expense,Entertainment,1769.0,Cash,jaipur,Paid electricity bill ,,,,,Expense
T07877,U032,2022-07-21,Expense,Travel,100.0,Bank transfer,Jaipur,cJ9BkudD4Tf3Ql,2022.0,7.0,21.0,Thursday,Expense
T03340,U107,,Expense,Rent,814.0,Card,delhi,Gift,,,,,Expense
T14028,U175,,Expense,Utilities,208.0,Cash,Mumbai,Salary via app,,,,,Expense
T03872,U051,,Expense,Education,113.0,UPI,Bengaluru,Grocery shopping,,,,,Expense
T03916,U086,,Expense,Rent,44.0,Cash,Kolkata,Gift,,,,,Expense
T14446,U136,,Expense,Rent,219.0,Card,Mumbai,Course fee,,,,,Expense
T09919,U177,,Income,Salary,52861.0,UPI,Kolkata,Course fee,,,,,Income
T02778,U103,,Expense,Food,33.0,Ccash,Jaipur,Monthly rent,,,,,Expense
T03163,U022,,Expense,Entertainment,418.0,Bank transfer,Ahmedabad,Paid electricity bill,,,,,Expense
T02942,U003,,Expense,Savings,184.0,UPI,Pune,sboT5a6RW,,,,,Expense
T04791,U112,,Income,Other income,68894.0,Bank transfer,Hyderabad,Salary ,,,,,Income
T02335,U052,,Expense,Savings,2849.0,UPI,,Uber to office,,,,,Expense
T09490,U109,2022-05-28,Expense,Food,55.0,Cash,Hyderabad,Uber to office,2022.0,5.0,28.0,Saturday,Expense
T07421,U093,,Expense,Others,373.0,Cash,Jaipur,Netflix subscription via app,,,,,Expense
T06200,U001,,Expense,Rent,201.0,Bank transfer,Pune,,,,,,Expense
T04759,U144,,Expense,Savings,8360.0,Bank transfer,Lucknow,Dinner at resto via app,,,,,Expense
T11740,U083,,Expense,Food,1766.0,Cash,Chennai,Grocery shopping,,,,,Expense
T08870,U077,,Expense,Tavel,411.0,Bank transfer,Ahmedabad,Paid electricity bill late,,,,,Expense
T14621,U063,,Expense,Rent,20.0,Card,Mumbai,kU9tfLsTrc,,,,,Expense
T14576,U106,,Expense,Rent,78.0,Card,Ahmedabad,Netflix subscription,,,,,Expense
T09583,U118,,Expense,Rent,720.0,Cash,Bengaluru,Grocery shopping,,,,,Expense
T12697,U165,,Expense,Oothers,1067.0,UPI,Hyderabad,Netflix subscription cash,,,,,Expense
T00428,U041,2020-06-29,Expense,Food,693.0,Bank transfer,Hyderabad,Doctor visit,2020.0,6.0,29.0,Monday,Expense
T13693,U161,2021-02-15,Expense,Travel,641.0,Card,Delhi,Paid electricity bill,2021.0,2.0,15.0,Monday,Expense
T03728,U066,,Expense,Utilites,389.0,UPI,Bengaluru,,,,,,Expense
T08570,U087,,Expense,Food,556.0,Card,Lucknow,Salary cash,,,,,Expense
T14413,U181,,Income,Salary,60559.0,UPI,Jaipur,Grocery shopping late,,,,,Income
T00734,U019,,Expense,Health,57.0,Bank transfer,Mumbai,Doctor visit,,,,,Expense
T03776,U048,,Expense,Food,641.0,Card,Bengaluru,CoBzaIzlT,,,,,Expense
T02361,U087,2022-06-24,Expense,Travel,564.0,UPI,Delhi,Doctor visit late,2022.0,6.0,24.0,Friday,Expense
T11868,U053,,Expense,Rent,1229.0,Cash,pune,Grocery shopping ,,,,,Expense
T13423,U102,,Expense,Nan,435.0,Cash,Hyderabad,Gift,,,,,Expense
T08941,U071,2019-08-02,Expense,Food,189.0,UPI,Ahmedabad,Netflix subscription,2019.0,8.0,2.0,Friday,Expense
T12761,U005,,Expense,Entertainment,37.0,Bank transfer,JAIPUR,Gift,,,,,Expense
T00663,U169,,Expense,Travel,175.0,Card,Delhi,Salary,,,,,Expense
T05581,U170,,Expense,Food,2183.0,UPI,Hyderabad,Salary cash,,,,,Expense
T04057,U147,2021-05-29,Expense,Ernt,705.0,Cash,Bengaluru,Salary,2021.0,5.0,29.0,Saturday,Expense
T06229,U175,,Expense,Trave,404.0,Bank transfer,Pune,Course fee,,,,,Expense
T13394,U134,,Income,Bonus,45883.0,Card,Mumbai,Course fee cash,,,,,Income
T04446,U111,,Expense,Food,40.0,Cash,Pune,Monthly rent cash,,,,,Expense
T11310,U028,,Income,Salary,69360.0,Bank transfer,Mumbai,Gift cash,,,,,Income
T11529,U033,,Expense,Food,227.0,Cash,Bengaluru,Netflix subscription late,,,,,Expense
T13813,U143,,Expense,Food,757.0,UPI,Kolkata,16wmjUjz,,,,,Expense
T00554,U005,,Expense,Food,81.0,Card,Ahmedabad,Netflix subscription,,,,,Expense
T14182,U082,2021-06-11,Expense,Food,196.0,Bank transfer,Jaipur,Monthly rent,2021.0,6.0,11.0,Friday,Expense
T05044,U160,,Income,Bonus,53159.0,Cash,Lucknow,,,,,,Income
T05971,U148,,Expense,Travel,86.0,UPI,Lucknow,Monthly rent,,,,,Expense
T10626,U049,,Expense,Rent,641.0,Cash,bengaluru,Salary,,,,,Expense
T05376,U053,,Expense,Rent,143.0,Bank transfer,Kolkata,Netflix subscription via app,,,,,Expense
T03003,U095,,Expense,Savingss,2035.0,Card,Chennai,Salary,,,,,Expense
T06854,U074,,Expense,Rent,51.0,Cash,Pune,zldFyXXwJ,,,,,Expense
T01355,U095,,Expense,Rent,1766.0,Cash,Delhi,,,,,,Expense
T00101,U177,,Expense,Food,575.0,Bank transfer,Jaipur,Netflix subscription,,,,,Expense
T11581,U112,,Expense,Rent,123.0,Card,,Netflix subscription cash,,,,,Expense
T07843,U067,,Expense,Health,195.0,Bank transfer,Hyderabad,Salary,,,,,Expense
T07405,U080,,Expense,Food,587.0,Card,Bengaluru,LDRxleWusbe7ZvYa,,,,,Expense
T06736,U061,,Expense,Rent,555.0,UPI,,Dinner at resto,,,,,Expense
T07517,U005,,Expense,Rent,61.0,UPI,Hyderabad,Doctor visit,,,,,Expense
T06119,U147,,Expense,Utilities,824.0,Cash,Pune,Dinner at resto,,,,,Expense
T00904,U189,,Expense,Savings,443.0,Bank transfer,Delhi,Dinner at resto cash,,,,,Expense
T08456,U076,,Expense,Food,225.0,Cash,Chennai,Paid electricity bill,,,,,Expense
T14290,U066,,Income,Bonus,63456.0,UPI,Bengaluru,,,,,,Income
T13075,U077,,Expense,Rent,326.0,Card,Ahmedabad,Dinner at resto ,,,,,Expense
T03061,U087,,Expense,Rent,1881.0,Card,Lucknow,Course fee,,,,,Expense
T11432,U159,,Expense,Trave,111.0,Bank transfer,Delhi,1yv2UgqhuT,,,,,Expense
T04560,U020,,Expense,Travel,5172.0,Bank transfer,Mumbai,Course fee,,,,,Expense
T02114,U189,,Expense,Travel,1703.0,Cash,Lucknow,Doctor visit via app,,,,,Expense
T12679,U181,,Income,Other income,58619.0,UPI,Mumbai,,,,,,Income
T14712,U016,,Expense,Savings,1711.0,Card,Pune,Uber to office via app,,,,,Expense
T06760,U051,2019-11-23,Income,Other income,45038.0,Bank transfer,Ahmedabad,Doctor visit,2019.0,11.0,23.0,Saturday,Income
T10248,U108,2019-06-26,Expense,Entertainment,1050.0,Cash,Hyderabad,Uber to office,2019.0,6.0,26.0,Wednesday,Expense
T13425,U023,2019-03-13,Expense,Travel,617.0,Cash,Ahmedabad,Course fee ,2019.0,3.0,13.0,Wednesday,Expense
T05533,U026,2021-06-24,Expense,Travel,45.0,Cash,Delhi,,2021.0,6.0,24.0,Thursday,Expense
T07945,U058,,Expense,Rent,104.0,Cash,hyderabad,Uber to office,,,,,Expense
T13942,U013,,Expense,Food,2421.0,Card,JAIPUR,,,,,,Expense
T14822,U185,,Income,Other income,69193.0,Cash,Delhi,Dinner at resto ,,,,,Income
T06956,U074,,Expense,Education,143.0,Bank transfer,Bengaluru,,,,,,Expense
T11139,U088,,Expense,Rent,959.0,Bank transfer,,Salary,,,,,Expense
T11916,U163,,Income,Salary,41560.0,Cash,Lucknow,Doctor visit late,,,,,Income
T08529,U168,,Expense,Ernt,77.0,UPI,,Monthly rent,,,,,Expense
T14294,U155,,Expense,Travel,1175.0,Bank transfer,Mumbai,Gift,,,,,Expense
T12514,U093,,Expense,Utilities,85.0,Bank transfer,Chennai,Uber to office ,,,,,Expense
T09379,U117,,Expense,Rent,232.0,Nan,Bengaluru,Uber to office,,,,,Expense
T14731,U026,,Expense,Food,1588.0,Card,Chennai,Uber to office via app,,,,,Expense
T13317,U027,,Expense,Ren,205.0,Bank transfer,Kolkata,Dinner at resto,,,,,Expense
T06479,U152,,Expense,Travel,374.0,UPI,Pune,Netflix subscription,,,,,Expense
T05787,U014,,Expense,Food,263.0,UPI,Jaipur,Gift via app,,,,,Expense
T09733,U191,,Expense,Entertainment,757.0,Card,Pune,Gift late,,,,,Expense
T02638,U040,,Expense,Rent,50.0,UPI,Mumbai,Grocery shopping ,,,,,Expense
T06460,U061,,Income,Bonus,43834.0,Cash,Delhi,Gift cash,,,,,Income
T02527,U099,,Expense,Utilities,472.0,Cash,Lucknow,Uber to office cash,,,,,Expense
T10439,U135,,Income,Salary,49691.0,UPI,Pune,Salary via app,,,,,Income
T12034,U100,2020-07-25,Expense,Rtavel,1413.0,Caard,delhi,nqj5djeLfknN4JU,2020.0,7.0,25.0,Saturday,Expense
T14582,U014,2021-10-09,Expense,Education,207.0,Card,Hyderabad,Netflix subscription,2021.0,10.0,9.0,Saturday,Expense
T03605,U090,,Expense,Entertainment,923.0,Cash,Bengaluru,Course fee ,,,,,Expense
T03072,U131,,Expense,Utilities,157.0,Bank transfer,Kolkata,4qk8NxcvcHAcxzQrBB,,,,,Expense
T08208,U185,,Expense,Savings,2425.0,Cash,Mumbai,Monthly rent,,,,,Expense
T02374,U089,,Expense,Rent,106.0,UPI,Pune,Doctor visit,,,,,Expense
T05338,U050,2021-07-29,Expense,Food,406.0,Card,Kolkata,,2021.0,7.0,29.0,Thursday,Expense
T06327,U060,,Expense,Food,264.0,Bank transfer,Kolkata,lPujru8v5kb9vKPv,,,,,Expense
T13510,U070,,Expense,Utilities,133.0,UPI,Mumbai,Uber to office ,,,,,Expense
T10985,U114,,Expense,Savings,747.0,Cash,Mumbai,Uber to office,,,,,Expense
T00159,U152,,Expense,Others,914.0,Cash,Mumbai,,,,,,Expense
T08980,U025,,Income,Bonus,68420.0,Bank transfer,Delhi,Uber to office,,,,,Income
T07670,U084,,Expense,Travel,348.0,UPI,Pune,Paid electricity bill,,,,,Expense
T11084,U053,,Income,Bonus,57190.0,UPI,Jaipur,Salary ,,,,,Income
T11154,U031,,Expense,Foo,568.0,Bank transfer,,Dinner at resto ,,,,,Expense
T06945,U077,,Expense,Travel,125.0,Bank transfer,mumbai,Paid electricity bill late,,,,,Expense
T11314,U124,2019-05-30,Expense,Others,726.0,UPI,Chennai,Salary,2019.0,5.0,30.0,Thursday,Expense
T01430,U121,,Expense,Food,301.0,UPI,Kolkata,Paid electricity bill cash,,,,,Expense
T02530,U164,,Income,Salary,39615.0,UPI,Bengaluru,Paid electricity bill,,,,,Income
T10146,U042,,Expense,Health,324.0,Bank transfer,Kolkata,Uber to office ,,,,,Expense
T07377,U064,,Expense,Rent,1789.0,Card,Hyderabad,iU4GRmkU,,,,,Expense
T08343,U113,,Expense,Food,,Card,Kolkata,Course fee late,,,,,Expense
T10891,U143,,Expense,Rent,61.0,Card,Mumbai,RQEpVsCm,,,,,Expense
T05368,U170,2021-01-16,Expense,Food,64.0,Cash,Delhi,Monthly rent ,2021.0,1.0,16.0,Saturday,Expense
T09121,U146,,Income,Salary,66226.0,Bank transfer,Pune,Paid electricity bill cash,,,,,Income
T02141,U084,,Expense,Food,114.0,Card,Jaipur,Paid electricity bill,,,,,Expense
T13464,U179,,Expense,Travel,97.0,UPI,Lucknow,Netflix subscription,,,,,Expense
T02339,U157,2022-07-24,Expense,Food,323.0,UPI,Mumbai,Salary cash,2022.0,7.0,24.0,Sunday,Expense
T06675,U117,,Expense,Utilities,246.0,Cash,Ahmedabad,Dinner at resto,,,,,Expense
T02186,U190,,Income,Otehr income,59622.0,Card,Kolkata,Uber to office,,,,,Income
T04574,U033,,Expense,Utilities,965.0,Bank transfer,Ahmedabad,Gift via app,,,,,Expense
T08561,U112,2022-03-14,Expense,Rent,116.0,Card,Jaipur,Netflix subscription,2022.0,3.0,14.0,Monday,Expense
T05331,U115,,Expense,Food,1372.0,Cash,Bengaluru,Monthly rent,,,,,Expense
T06662,U174,,Expense,Travel,142.0,Cash,Jaipur,Netflix subscription,,,,,Expense
T13401,U026,,Expense,Entertainment,83.0,Bank transfer,mumbai,Course fee,,,,,Expense
T14142,U180,,Expense,Foo,231.0,UPI,Delhi,Netflix subscription cash,,,,,Expense
T13459,U102,,Expense,Utilities,485.0,Bank transfer,Pune,,,,,,Expense
T12022,U057,,Expense,Savings,3866.0,Bank transfer,Chennai,,,,,,Expense
T00209,U064,,Income,Bonus,63751.0,Cash,Bengaluru,Salary via app,,,,,Income
T14671,U023,,Expense,Food,1789.0,UPI,Chennai,CTahRXPpt1r,,,,,Expense
T07051,U041,,Income,Salary,75840.0,Card,,Dinner at resto via app,,,,,Income
T01429,U085,2022-01-10,Expense,Rent,69.0,UPI,Delhi,Grocery shopping ,2022.0,1.0,10.0,Monday,Expense
